id,Datum,Umsatz,KielerWoche,Umsatz_roll,Bewoelkung,Temp_roll,Temperatur,Wind_roll,Windgeschwindigkeit,Woche,Feiertag,Jahreszeit,Ferien,sunny,cloudy,rainy,thunderstorm,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,Winter,Spring,Summer,Autumn,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Temp_Winter,Temp_Spring,Temp_Summer,Temp_Autumn
1307011,2013-07-01,148.828353112183,0,148.828353112183,6,17.8375,17.8375,15.0,15,27,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,17.8375,0.0
1307012,2013-07-01,535.856284785361,0,342.342318948772,6,17.8375,17.8375,15.0,15,27,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,17.8375,0.0
1307013,2013-07-01,201.198425690037,0,295.29435452919364,6,17.8375,17.8375,15.0,15,27,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,17.8375,0.0
1307014,2013-07-01,65.890168799361,0,237.9433080967355,6,17.8375,17.8375,15.0,15,27,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,17.8375,0.0
1307015,2013-07-01,317.475874933038,0,253.849821463996,6,17.8375,17.8375,15.0,15,27,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,17.8375,0.0
1307021,2013-07-02,159.79375714468,0,238.17381074411,3,17.75,17.3125,14.166666666666666,10,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,17.3125,0.0
1307022,2013-07-02,546.780787392297,0,282.260521693851,3,17.6875,17.3125,13.571428571428571,10,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,17.3125,0.0
1307023,2013-07-02,265.261253994438,0,280.1356132314244,3,17.640625,17.3125,13.125,10,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,17.3125,0.0
1307024,2013-07-02,74.5439171827412,0,257.29209144823733,3,17.604166666666668,17.3125,12.77777777777778,10,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,17.3125,0.0
1307025,2013-07-02,383.628681612577,0,269.9257504646713,3,17.575,17.3125,12.5,10,27,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,17.3125,0.0
